,fips,CFR,popdensity,percminor,percold,CCVI
388,18151,0.019047619,112,0.01928526,0.353264327,3
389,18157,0.010141988,386.2,0.147745638,0.211543243,2
390,18163,0.015015015,775.1,0.116381359,0.309005714,3
391,18167,0.044776119,266.3,0.098569646,0.284701916,3
392,18173,0.175141243,162.6,0.047053559,0.314271101,1
393,18177,0.022140221,164.1,0.067975006,0.331184785,5
394,18181,0.040816327,47.8,0.02167157,0.349107032,3
395,19005,0.033057851,21.6,0.032967033,0.380928282,4
396,19013,0.029956427,234,0.130686968,0.28588907,2
397,19015,0.00990099,46.1,0.022811812,0.339292492,4
398,19021,0.004388715,34.6,0.157643152,0.289976854,5
399,19047,0.003215434,24,0.078039399,0.308019583,8
400,19049,0.02526725,153.3,0.079152806,0.219461078,2
402,19061,0.056701031,159.2,0.056838127,0.316176926,3
404,19099,0.060283688,50.9,0.034915336,0.3335128,4
405,19103,0.01242236,246.3,0.146786989,0.215337829,3
406,19113,0.078508342,315.1,0.090328407,0.285057258,2
407,19115,0.033802817,27.8,0.057032859,0.330736861,7
408,19123,0.12962963,38.5,0.039045455,0.320272727,4
409,19127,0.019128587,69.8,0.072584478,0.315850029,7
410,19139,0.074912892,98.1,0.0508747,0.301660882,5
411,19149,0.019900498,29.1,0.028969914,0.325841801,3
412,19153,0.031467181,849.1,0.127695996,0.248784903,3
413,19155,0.021400778,98.4,0.036874686,0.317845039,2
414,19163,0.024570025,378.3,0.114864124,0.295204954,3
416,19169,0.007843137,171.3,0.118831864,0.212089088,1
417,19171,0.067599068,23.4,0.101455277,0.346367724,6
418,19179,0.038518519,81.5,0.072603323,0.321232779,4
419,19181,0.005076142,89.6,0.02138828,0.284824506,2
420,19183,0.043269231,38.9,0.023440676,0.329343751,8
421,19193,0.013284623,117.5,0.103024215,0.273378909,3
423,20055,0.006493506,28.1,0.100898637,0.216492311,7
424,20057,0.005313496,30.9,0.063385269,0.220254958,7
425,20085,0.009708738,20.2,0.100828313,0.330572289,6
426,20091,0.065099458,1262.3,0.107119847,0.269966781,2
427,20103,0.006311993,175.8,0.121508998,0.274178877,3
428,20111,0.012684989,39.4,0.069777884,0.274052565,8
429,20173,0.032722513,514.9,0.155451542,0.271476051,2
430,20175,0.002141328,34.1,0.100229568,0.194490358,6
431,20177,0.019522777,326.3,0.119780957,0.319128558,2
432,20209,0.043428571,1090.5,0.304196608,0.240745445,7
433,21001,0.18627451,47.4,0.037678897,0.325474889,8
434,21003,0.029411765,61.3,0.019221665,0.313275258,9
435,21015,0.038817006,533.9,0.067047813,0.260155246,3
436,21029,0.02962963,272.9,0.024201606,0.295772737,5
437,21031,0.053278689,30,0.014171625,0.331271531,9
438,21037,0.057971014,615.6,0.043831587,0.298211525,2
439,21047,0.018867925,99.9,0.250296494,0.212749927,5
440,21059,0.022222222,220.6,0.072954581,0.304349976,3
441,21067,0.017714792,1141.5,0.200725801,0.248746062,2
442,21083,0.114285714,67.6,0.054639976,0.319747032,7
443,21085,0.080291971,53,0.018350367,0.318908856,5
444,21093,0.037593985,177.1,0.160163471,0.268920584,5
445,21101,0.028985507,104.4,0.093351758,0.321159878,4
446,21107,0.139130435,83.2,0.080367445,0.327527292,4
447,21111,0.055902468,2025.4,0.257341499,0.296025915,4
448,21117,0.053623188,1036.2,0.066720465,0.276993213,3
449,21141,0.04368932,48.9,0.073177961,0.325058357,7
450,21145,0.024390244,262.7,0.124567686,0.338995501,3
451,21177,0.015904573,65.9,0.054526548,0.329466433,7
453,21185,0.053097345,355,0.067895291,0.257635023,2
454,21211,0.02166065,127.8,0.095346057,0.288552702,7
455,21227,0.007843137,242.4,0.152334227,0.238016516,3
456,22001,0.051926298,94.9,0.189821515,0.285206625,9
457,22003,0.044247788,33.6,0.259050967,0.27029877,8
458,22005,0.061181435,429.9,0.257002374,0.235473883,4
459,22007,0.051094891,65.8,0.310179372,0.326950673,9
460,22009,0.04787234,48.6,0.322351836,0.298749444,10
461,22011,0.044117647,32.2,0.146055351,0.283547634,7
462,22013,0.137142857,16.4,0.428238653,0.35467388,10
463,22015,0.054901961,151.4,0.259071431,0.261831191,6
464,22017,0.07459045,276.5,0.518652078,0.304406353,6
465,22019,0.066062176,191,0.279254795,0.276413998,5
466,22025,0.022900763,13.6,0.313696919,0.315986678,9
467,22029,0.046728972,28.1,0.407418761,0.309063969,8
468,22031,0.062730627,31.3,0.377569617,0.316700685,10
469,22033,0.060457516,968.3,0.508769582,0.260860494,4
471,22037,0.140969163,42.6,0.43988604,0.337270137,8
472,22041,0.030660377,32.3,0.327793213,0.314149633,8
473,22045,0.090322581,123.6,0.362230586,0.288394581,9
474,22047,0.069918699,52.9,0.496928578,0.293511812,9
475,22049,0.092592593,27.9,0.296252044,0.331027544,9
476,22051,0.055489544,1468.2,0.331256004,0.310117935,5
477,22053,0.052631579,48.5,0.180165917,0.298302831,9
478,22055,0.026622296,903.5,0.292937697,0.257613826,3
479,22057,0.078331638,91.8,0.178117515,0.288844723,5
480,22061,0.074688797,100,0.432515467,0.234320705,5
481,22063,0.058608059,215.3,0.079746645,0.250861593,7
482,22065,0.006993007,17.9,0.635606128,0.263775647,9
483,22067,0.037267081,31.9,0.490826049,0.32474998,7
484,22069,0.067010309,30.9,0.433973978,0.278149978,7
485,22071,0.070031035,2307.9,0.638667949,0.279985473,6
486,22073,0.032542747,253.1,0.391972811,0.271448454,5
487,22075,0.074561404,30,0.281290047,0.259888936,8
488,22077,0.113122172,39.4,0.36390155,0.360164084,9
489,22079,0.034367142,99.1,0.345935264,0.293584657,7
490,22083,0.018292683,36.1,0.365293185,0.312698098,7
491,22087,0.04028021,123.8,0.272404272,0.240020548,7
492,22089,0.069591528,189.5,0.283193706,0.278314643,5
493,22093,0.087662338,87.1,0.499310738,0.317250559,8
494,22095,0.093049327,202.7,0.59834661,0.281331049,8
495,22097,0.148648649,89.6,0.426900585,0.294185878,9
496,22099,0.076923077,72.7,0.319594935,0.28973723,9
497,22101,0.091922006,89.6,0.362277494,0.311648652,8
498,22103,0.086489253,305.3,0.147719392,0.310238618,3
499,22105,0.040076336,169.1,0.317341546,0.268626146,7
500,22109,0.070197044,90.1,0.269885877,0.274506625,7
501,22111,0.047393365,25.5,0.262203314,0.358441558,7
502,22117,0.078754579,69.6,0.313597527,0.318213044,9
